instrument,pip_size,contract_size,quote_currency,pip_value_standard_lot,pip_value_mini_lot,pip_value_micro_lot
EURUSD,0.0001,100000,USD,10.0,1.0,0.1
GBPUSD,0.0001,100000,USD,10.0,1.0,0.1
USDJPY,0.01,100000,JPY,1000.0,100.0,10.0
USDCHF,0.0001,100000,CHF,10.0,1.0,0.1
USDCAD,0.0001,100000,CAD,10.0,1.0,0.1
AUDUSD,0.0001,100000,USD,10.0,1.0,0.1
NZDUSD,0.0001,100000,USD,10.0,1.0,0.1
EURGBP,0.0001,100000,GBP,10.0,1.0,0.1
EURJPY,0.01,100000,JPY,1000.0,100.0,10.0
EURCHF,0.0001,100000,CHF,10.0,1.0,0.1
EURAUD,0.0001,100000,AUD,10.0,1.0,0.1
EURCAD,0.0001,100000,CAD,10.0,1.0,0.1
EURNZD,0.0001,100000,NZD,10.0,1.0,0.1
GBPJPY,0.01,100000,JPY,1000.0,100.0,10.0
GBPCHF,0.0001,100000,CHF,10.0,1.0,0.1
GBPAUD,0.0001,100000,AUD,10.0,1.0,0.1
GBPCAD,0.0001,100000,CAD,10.0,1.0,0.1
GBPNZD,0.0001,100000,NZD,10.0,1.0,0.1
AUDJPY,0.01,100000,JPY,1000.0,100.0,10.0
AUDCHF,0.0001,100000,CHF,10.0,1.0,0.1
AUDCAD,0.0001,100000,CAD,10.0,1.0,0.1
AUDNZD,0.0001,100000,NZD,10.0,1.0,0.1
CADJPY,0.01,100000,JPY,1000.0,100.0,10.0
CADCHF,0.0001,100000,CHF,10.0,1.0,0.1
CHFJPY,0.01,100000,JPY,1000.0,100.0,10.0
NZDJPY,0.01,100000,JPY,1000.0,100.0,10.0
NZDCHF,0.0001,100000,CHF,10.0,1.0,0.1
NZDCAD,0.0001,100000,CAD,10.0,1.0,0.1
XAUUSD,0.01,100,USD,1.0,0.1,0.01
XAGUSD,0.01,5000,USD,50.0,5.0,0.5
